"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1918.84024724756","1983.889968875","2033.07157425661","2064.23412670467","2079.17916831621","2096.6443297677","2116.6160065421","2139.40605671188","2164.73101189419","2189.18252113779","2208.99139044076","2223.98610681488","2237.30284156053","2250.88489737947","2266.3247079286","2282.9902745746","2299.0385869108","2313.871489217","2328.0101469881","2341.77405345759","2353.46917964151","2364.04337928265","2373.41388891772","2382.75964489621","2393.36877384776","2405.04389494387","2418.07233205608","2431.75038520146","2444.74637939441","","","",
"Samoa Americana","ASM","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","924.526624588852","912.152680325568","899.996538474852","886.403927451248","871.839581517001","857.87346366411","843.922943343558","829.902007724473","815.788647987198","805.989119146892","802.853216816687","803.771543395935","806.664288041202","809.741816936062","812.0559069259","812.626972964526","811.017358890778","808.344603522517","804.84143076042","801.368490807379","799.065707787817","797.166991154512","795.009784735812","795.569291025366","799.409666707662","803.560390653974","808.043137072087","812.728579913101","817.147526557295","821.121778676099","817.173209290631","804.219056898498","789.865419084364","775.286259541985","760.25614784058","745.00702025846","730.152489539161","716.529791104007","704.406605166551","692.825261474918","682.280390999147","673.61875769156","666.026256804355","658.719803397474","651.066120772765","642.808579022189","634.022629730784","624.617121716256","615.137104596967","606.803197386079","599.56877169113","593.106280083035","587.590539792309","582.724460979874","578.156791674542","574.179585707345","570.682294581811","567.524501778971","564.499495207182","561.167227833894","","","",
"Australia","AUS","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","46933.1298292474","45801.5267175573","44931.5068493151","44058.3863168264","43203.3719704953","42228.1349240409","41698.4490211035","40969.2730452161","40120.6882492049","39337.9707363876","38030.455283296","37337.7855354026","36771.3004484305","35852.2189025723","35413.5175987908","35060.215207012","34667.4182638106","34266.6109486001","33898.3050847458","33487.6123060169","32968.6677039735","32402.0018905119","31961.6003459129","31580.1817927286","31162.2927137493","30714.7739935761","30251.0951572793","29760.1693281049","29260.6058991285","28830.724269985","28465.5736657804","28148.6511961603","27899.3681133359","27631.9611481147","27325.9219360616","26996.2299106485","26705.6946148455","26440.8318672644","26153.1520076478","25855.5425612185","25525.6877914734","25236.9684655872","24948.3576602639","24683.0312488179","24384.3883612323","24057.5432964878","23622.4759600496","23153.8139390572","22681.535611878","22331.4080815187","22023.2529741239","21642.1033925097","21272.7972937197","20957.8540111671","20658.3852574709","20338.220472676","20006.027832451","19708.9658729642","19419.9083901346","19181.8489181437","","","",
"Austria","AUT","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","7761.45629756803","7714.03213301123","7664.63888193265","7613.72025613662","7564.41199968807","7511.54114153027","7455.60728090207","7416.99405952718","7391.42500626591","7365.65776796999","7332.86207473066","7290.36779375311","7250.08782492752","7237.75825308414","7256.98692805542","7269.81934498928","7267.02896109233","7272.91480573714","7285.32305440481","7285.31533427742","7266.76012160593","7261.55048625983","7273.29470993439","7273.75257127153","7270.33827562117","7265.71951627746","7261.12291813704","7250.85055772883","7218.25794037903","7163.46373008069","7092.29826699047","7014.67175991355","6957.06466515711","6930.34050148952","6919.73783503798","6910.40112114348","6902.57492399951","6895.00499511771","6881.60289798061","6865.07481808176","6838.84558794364","6805.28243345021","6772.21220960908","6730.32658236708","6684.63090324313","6651.63719164975","6630.11104712719","6609.38850418242","6592.09765701268","6576.26966244845","6554.13963630245","6524.32487768967","6485.98443623175","6435.49133689259","6363.75280453479","6295.30617393267","6251.72917145492","6221.35279131173","6193.74949323868","6168.08779409443","","","",
"Azerbaiyán","AZE","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1099.28813811882","1082.75070715696","1068.24808630233","1055.97376656669","1045.34329511787","1035.30762606449","1025.52761278908","1016.56697253453","1008.24988196705","1000.46848801657","993.031039103274","985.535759828032","976.945765364474","967.009658180258","956.444360631972","945.660913847552","926.010452564073","906.98330200711","896.256068365949","884.653598430713","872.976394460112","861.757618112563","851.067935567183","840.990073829912","831.641355664569","823.520684373596","816.417199148753","809.534208082513","804.012950999002","","","",
"Burundi","BDI","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","3572.47870362347","3484.10575888741","3412.32909098741","3316.60634025678","3226.28854308378","3150.26908809418","3072.23133474404","3000.83790792081","2937.71603966676","2876.06558801818","2808.43199602464","2810.6878781402","2816.7830993014","2748.60984821991","2683.21618934224","2626.02231492481","2561.47280102907","2490.46271608973","2431.45696236583","2332.57296710237","2240.16382144336","2185.87736358854","2128.42213677503","2077.53887228051","2033.13484332331","1995.35633374893","1950.4557105989","1908.25214725788","1872.0817344186","1834.49667046149","1798.08923527229","1751.67179312164","1810.90937892649","1800.79936875359","1695.66289547418","1696.31365412772","1698.21646756795","1666.84892648964","1627.78430401704","1594.88647055905","1555.89570797044","1513.02358361591","1466.29147484144","1412.82292694217","1361.50650288528","1313.62632684747","1266.26747773238","1215.25338697521","1155.0783375047","1102.27187437169","1063.90482895403","1027.00439662011","991.174311993495","958.559637416718","937.807514168724","922.65415868019","901.789801761323","875.279462985597","847.169451911681","823.225296878691","","","",
"Bélgica","BEL","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","1306.62760721206","1301.43685135574","1291.7434984935","1279.57511281854","1268.00742249278","1259.47135579048","1252.48004094775","1247.56257461984","1244.03485288044","1242.80866888045","1240.54574915627","1235.69744565892","1231.81532624629","1227.94571129216","1224.40233860847","1222.21659776251","1220.7083404287","1219.56995117858","1218.474263082","1217.13210812758","1217.16420620303","1217.49503845407","1217.59176583275","1217.6100506404","1217.24742217427","1216.81356479426","1215.77664724058","1211.91751204646","1207.52323199228","1203.92733134759","1199.46192138207","1194.60540093048","1189.94791498814","1186.28617592051","1183.80425559873","1181.49344118531","1178.63777956429","1176.12374703617","1173.43128616185","1170.58895256676","1166.56961455568","1161.35194915988","1156.5002106276","1151.50582897049","1145.18929358712","1137.66095769437","1129.33736130326","1120.45100393811","1111.47203077888","1101.36343286171","1087.1274685947","1080.40636244104","1075.32595594013","1070.56284931016","1064.37745095083","1059.00212700577","1054.93040184585","1050.13943226312","1044.47914436269","1039.9871596252","","","",
"Benin","BEN","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","4037.2904528664","3971.77035300941","3904.35172219817","3835.24245248488","3764.83592077469","3693.55406681819","3621.99203232083","3550.23304005421","3478.35953810087","3406.7121490301","3335.08074295238","3263.20298263089","3191.44321400021","3120.00571900077","3048.50707505217","2976.59557805053","2904.30948773056","2832.06124291194","2759.62291226489","2686.53204967528","2613.17257163328","2540.4592805074","2469.12041300953","2399.21547983145","2330.5529610241","2263.04889372063","2196.73019908987","2131.78840075304","2068.4060019921","2006.46002206327","1945.94945896937","1887.21490687236","1805.0601619542","1738.8679530688","1703.46171535949","1660.25667890636","1612.64413202639","1564.35506121261","1517.25196502543","1471.84426230094","1428.16714436316","1385.93928267281","1344.78656278822","1304.69688344649","1263.89378187574","1225.80653607186","1191.05974367238","1156.4627912588","1122.92006313645","1090.44211605057","1058.97569290939","1028.55200448808","999.15314495578","970.339272060899","942.12059271642","914.735545957246","888.177656916632","862.597223291164","838.049463469343","814.672134408564","","","",
"Burkina Faso","BFA","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","2575.81499301542","2538.3303106896","2500.66467667106","2462.51510260512","2423.45328910111","2384.22353564328","2344.94606905435","2305.37175595003","2266.23882494973","2227.50249212979","2189.9883194783","2153.21113544335","2115.86761913435","2077.05336249184","2036.34667026367","1993.69513849403","1948.08159937188","1900.33748473459","1851.86858725686","1802.97987860032","1754.69873226526","1707.22649855903","1659.76558267598","1612.59610427743","1566.57603502112","1522.93658236218","1481.92127180618","1442.79824371055","1405.24689963187","1368.90875303254","1334.74795260342","1302.27935350686","1270.3155209691","1238.69615437365","1207.34883292349","1176.89039196099","1147.06754933973","1115.96551148762","1083.79429272191","1051.93282979693","1020.42782211968","989.529276173584","959.281125468522","929.646094143996","900.827730965564","873.134164678133","847.051387016152","822.481241670321","798.720921925861","775.586040568114","752.891812277449","730.40760484037","708.761103734956","687.953147858963","667.805711704855","648.491675805211","630.171883666439","612.963751824609","596.612035936663","580.784147807986","","","",
