"","Agricultura, valor agregado (% del PIB)","PIB per cápita (US$ a precios actuales)","Ahorro bruto (% del PIB)","Desempleo, total (% de la población activa total) (estimación modelado OIT)","pc1_economia","pc2_economia"
"GBR",0.661941781370023,43815.6746602543,15.7669631789105,4.2246,19975.198135189,-10293.2524668494
"GEO",6.59804924642031,5074.43346910916,16.169546633281,11.7166,-709.978018999708,4484.65735312641
"GHA",18.7073041418369,2230.03523806815,18.6993022271378,3.4442,-1375.05719068949,-876.604716080631
"GIN",26.0290037825281,1153.26408821519,3.74781771967045,5.5966,701.639060751614,-38.4628254980192
"GMB",21.2177300609274,738.132036773908,22.7028112512911,4.3834,343.87078994754,-155.852212124944
"GNB",37.4979388748809,758.692300731594,10.9423951781902,3.424,-93.7592293943079,658.469888476093
"GRC",3.79710735193432,19539.2242290822,9.33108239308602,17.04,-12127.6649964832,-7815.04839165786
"GTM",9.47535086867677,4849.22861061212,17.3787428072716,2.689,3016.01506366754,-140.583711982062
"GUY",19.5356933126322,9525.88029054435,12.2671901653437,13.3646,4345.85248432183,-2235.52709103155
"HIC",1.27887447294675,46170.9148902128,23.4463126497493,5.22221458992151,-6472.8678886678,40870.8037303869
"HKG",0.0722627546714523,48350.8425820941,25.9712668477812,4.4492,-30024.6506105846,-19338.2147740259
"HND",11.618865065688,2628.61387216178,19.8339160324169,7.6484,1634.74066799346,-75.7663345907875
"HPC",21.8251346723349,1017.3846715391,19.908334990413,5.04060830194507,471.568225996497,-224.286838631211
"HRV",3.05191886248312,16162.0570125684,23.8722073116774,6.9952,-2271.15120235448,14299.7401642731
"HTI",19.8425379532366,1538.03880912761,14.0954993259163,14.9852,-942.843033830798,-601.441983741186
"HUN",3.3866976604503,17296.0520046192,26.5293929264512,3.8842,10760.9385767545,-485.98094235153
"IBD",8.01041930564573,6795.84760778082,32.603675668279,6.01534664524641,3095.53395649694,-1572.15327106716
"IBT",8.85876043770632,5370.6251951024,32.1407083565096,5.85041161171454,-763.972650337858,4740.155767418
"IDA",19.8897741848587,1443.06677164278,21.254328132085,5.29384558723738,-883.807883176338,-561.338872500915
"IDN",12.9798780508083,4214.3445344698,32.3561272084023,3.6814,2625.87459118533,-126.942930065994
"IDX",18.7802004083742,1241.10966541369,25.4631796107356,5.23169890222449,570.796168447864,-271.980483559289
"IND",17.0959658043784,2117.35528548749,29.549855328228,6.048,-303.152882472412,1858.74050101665
"IRL",0.963495637618738,90450.6838166222,35.5553896008808,5.1388,-56177.2547565483,-36174.4580378151
"IRN",12.3659334165064,3725.53913718523,36.0874140052422,10.74,2323.12069651804,-107.708253459879
"IRQ",3.76734117106621,5236.40336348455,34.7411974649485,15.3596,2375.69631307411,-1207.09606906383
"ISL",4.31969867038462,68785.9732577366,18.1605827089115,4.3722,-9633.95228689339,60896.0389137326
"ISR",1.43197431571349,47753.2648705744,28.5596573376104,3.9514,-29652.1538012873,-19097.9821112368
"ITA",1.91640518443111,34288.9042727384,21.9221285669299,8.8674,21322.0695733943,-953.276607047964
"JAM",7.74704626328703,5469.74525425965,21.1931258933509,5.7044,2492.46777111241,-1270.22366743066
"JOR",4.5998145095936,4153.69844063698,16.637378661547,18.8182,-577.898399470101,3669.50569700947
"JPN",1.0360795804489,38856.7329007877,28.8945082922976,2.6478,-24124.6213347044,-15540.1269684049
"KAZ",4.9061247003432,10122.5358195755,26.6568114764086,4.957,6300.73552261001,-285.831975425544
"KEN",21.3043184794918,1984.21546117351,14.9289887964495,5.5146,912.514452775306,-456.270585478511
"KGZ",11.5134057447596,1407.43313029192,19.8808357235069,4.2076,-201.473222550975,1235.39274445893
"KHM",22.099785010538,1633.49123392187,32.298503661507,0.2258,-997.883269713467,-634.652446557021
"KOR",1.73547325550952,32927.1421713063,35.6166444777583,3.3682,20482.7042044274,-923.358936539079
"KWT",0.466540032876279,32076.099812537,33.0166021842069,2.5864,14620.5223793158,-7516.15510465268
"LAC",5.62107652414471,8085.66800186467,17.1243868965231,8.13001383245067,-1134.70176981533,7150.8108545533
"LAO",15.8067734960344,2467.05534037381,10.2286459091149,3.7964,-1527.02864368488,-973.809042999246
"LBN",2.73446484804547,7313.45370698617,-2.6745869948376,12.1552,4541.53429750442,-193.437079721969
"LBY",2.92787452710884,8408.08667988721,20.216133764305,19.2434,3821.05798792569,-1967.47080034979
"LCN",6.28842698689813,8636.31526545431,17.1599411501589,8.10375504510395,-1211.5050366036,7638.19420991011
"LDC",19.2703445578131,1132.78598641102,26.1807859632937,5.53885164137313,-687.754027499808,-437.994445150298
"LIC",26.5371814669535,686.977062622173,15.4553789287794,5.74282466171268,416.790282138981,-28.3005980245716
"LKA",8.1340407870566,3929.32465540359,32.9195134665665,5.6314,1788.69223694317,-897.513510563272
"LMC",15.6677014551982,2301.77685956343,26.5804750032632,5.77119682088851,-327.943033582727,2023.56210987012
"LMY",8.96222623444963,5189.50326259176,32.647802504894,5.83622665618606,-3202.79843490623,-2069.7372676009
"LSO",5.27908689770099,1028.20010816959,20.8562754738619,17.3692,642.943977349861,-20.2807662503963
"LTE",6.40623137433028,10634.2684239339,35.7426539059296,5.37565387537304,4844.78595476813,-2471.87511942027
"LTU",3.37273883501471,21619.6378266984,21.3452772536059,6.8698,-3033.36139343336,19132.9270462318
"LUX",0.2162212881802,121027.227595163,19.7608543251301,5.4952,-75185.552252409,-48402.9600981353
"LVA",4.10301934118307,19310.8971416253,22.338939601445,7.041,12010.5992679519,-538.615405553334
"MAR",11.027744958282,3491.80815429688,27.4487307373932,10.4758,1588.74239757944,-801.470973685375
"MDA",9.71084639957457,4785.46515030055,14.3959264399029,1.192,-673.554514980902,4229.06954282427
"MDG",23.3398199940675,501.434516620144,13.7168013801218,1.9874,-305.400370483131,-180.718129979099
"MEA",4.97053189261546,7651.94263734276,28.5469845257172,9.84242046879147,4765.11529154973,-213.151942701975
"MEX",3.62961668915702,10263.0924895707,21.2714297869756,3.6182,4676.92393408927,-2396.60695783935
"MIC",8.71990813539625,5701.1992022949,32.8190510243931,5.8444988500945,-810.72860894298,5032.61396696437
"MKD",8.08865368913025,6302.92232966327,29.929619851302,17.39,-3890.92073660032,-2518.43195729614
"MLI",36.6422820090846,846.849164715138,14.800064851014,2.9418,509.983623712822,-39.1214369804716
"MLT",0.744338908024672,32423.8659793753,26.9703381912765,3.3762,14779.6293208459,-7603.6272452503
"MNA",10.0623361893728,3540.81247255252,22.5641243731013,11.4744010659731,-497.874981111336,3123.39409122879
"MNE",6.63728872511709,8999.3600705645,14.5195317388634,15.8382,-5576.43691705506,-3597.28435409682
"MNG",12.428614255998,4442.55778954331,20.7258745959361,6.3384,2762.40276980475,-127.991923880096
"MRT",20.829151706296,1890.13427047575,34.2945594713819,10.867,863.282624999957,-419.123210461342
"MUS",3.04899090546023,10276.5933507199,10.3968993560236,6.7776,-1439.17934780062,9094.03189577503
"MYS",8.28295794669045,11099.6473421204,25.4149758613495,3.8244,-6880.3869269312,-4433.25372149765
"NAC",0.984088225123466,65684.2502988844,19.1273475911772,5.07907929971937,40837.7299106576,-1830.19862924467
"NAM",8.37608349460408,5003.18057827108,10.6430817261812,20.3732,2272.47093503043,-1175.71213219108
"NCL",1.90952243522186,35860.0178341833,19.8234668932965,11.7704,-5023.13502069743,31742.4529012676
"NER",38.2828183276874,571.858374753745,19.6884152284672,0.6342,-348.154700451386,-195.499355982445
"NIC",15.7801559429545,2016.8918629007,21.4314647184685,5.5554,1252.92073989949,-62.6183630585641
"NLD",1.65067371932604,54687.2517613452,30.067720539387,3.689,24931.5014529422,-12837.413023097
"NOR",1.73830434386582,85873.1058354443,37.985953652132,3.8422,-12039.3100438487,76018.0119988099
"NPL",21.8360671846704,1210.46936246215,42.6031093882336,11.6462,-723.388451042828,-468.683846580625
