"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bélgica","BEL","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.6981887817383","64.9971771240234","","","77.9996032714844","72.1768417358398","","","","","40.3982200622559","42.631031036377","46.8895606994629","","","67.59375","69.09716796875","70.4166107177734","68.2663497924805","70.4254608154297","71.2228927612305","76.9972991943359","75.0768890380859","","",
"Burkina Faso","BFA","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4177398681641","","86.8469772338867","89.4923477172852","88.2582168579102","86.9417572021484","87.6678924560547","87.6603927612305","86.1144638061523","","","94.8324813842773","85.5863876342773","84.3585968017578","85.4200134277344","73.193733215332","85.8375625610352","87.5757293701172","88.5932464599609","89.4517974853516","90.9827728271484","88.3963165283203","",
"Bangladesh","BGD","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4021987915039","51.4322395324707","55.9990005493164","54.3633308410645","58.4075317382812","","57.7341499328613","","","","47.5789985656738","50.4313201904297","50.4312705993652","","","","","74.3449478149414","",
"Bulgaria","BGR","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrein","BHR","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3359832763672","82.0623397827148","82.194221496582","82.7675399780273","82.4818267822266","83.6934280395508","83.7441101074219","100","100","100","","100","",
"Bahamas","BHS","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4372406005859","","","95.1207504272461","","91.5348815917969","","88.8222732543945","94.4628067016602","91.0844421386719","84.4204177856445","91.548713684082","94.2885818481445","94.4308395385742","87.4098663330078","81.4687271118164","89.6463012695312","90.0682830810547","89.6463012695312","89.782470703125","92.780029296875","","90.6504135131836","","",
"Bosnia y Herzegovina","BIH","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarús","BLR","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9037780761719","97.7423629760742","98.5277786254883","99.7972183227539","99.6296081542969","99.8100662231445","99.7715530395508","99.8662033081055","99.7615814208984","99.8773498535156","99.6439895629883","99.6285095214844","99.4370727539062","99.3871688842773","99.4728622436523","99.6488418579102","99.5548782348633","99.515022277832","99.4790267944336","99.3466720581055","99.3698425292969","",
"Belice","BLZ","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0864105224609","40.8976287841797","","40.985050201416","51.4461784362793","","39.3763885498047","45.4585494995117","42.7577209472656","42.5376281738281","45.2048988342285","47.5115013122559","54.3443298339844","48.7762985229492","60.7496795654297","67.5039215087891","72.8448333740234","75.0073776245117","79.2283706665039","82.2722091674805","86.0662002563477","87.0052032470703","88.1410293579102","",
"Bermudas","BMU","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","","","","","100","100","","100","","100","","","","","","","",
"Bolivia","BOL","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1935577392578","88.1188583374023","88.4527969360352","","",
"Brasil","BRA","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1676483154297","92.2419967651367","93.0000381469727","","",
"Barbados","BRB","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2471084594727","","70.3799133300781","60.9540596008301","58.0584907531738","58.495979309082","55.4069786071777","","","68.7687683105469","65.8333282470703","69.0276870727539","79.8063583374023","76.470588684082","75.1072998046875","75.0677490234375","75.7970123291016","75.8296813964844","",
"Brunei Darussalam","BRN","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.4547119140625","84.6049423217773","82.8280029296875","84.2837295532227","84.14013671875","87.0893173217773","88.2672882080078","88.0386276245117","85.1905517578125","87.4375610351562","81.6761703491211","84.9080352783203","85.3470458984375","86.4126358032227","86.6467361450195","85.1808395385742","","","",
"Bhután","BTN","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.705940246582","100","94.8259201049805","91.584602355957","","","","93.8182983398438","92.0068511962891","","91.4671936035156","","","","","","","100","100","100","100","100","100","100","100","",
"Botswana","BWA","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8311309814453","90.2426834106445","89.1553421020508","89.4826202392578","89.0750885009766","89.7223510742188","92.4746398925781","92.5877075195312","94.2898864746094","97.3900985717773","98.8501281738281","100","","","99.5328369140625","98.6365127563477","","","","","","","","","","",
"República Centroafricana","CAF","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canadá","CAN","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa Central y del Báltico","CEB","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.7505493164062","97.0348510742188","96.823356628418","96.4521179199219","96.4972763061523","96.2640686035156","96.1953506469727","96.0981903076172","95.7972564697266","96.3976669311523","95.567253112793","93.8065185546875","","","",
"Suiza","CHE","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas del Canal","CHI","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
